,Product,Manufacturer,Architecture,Released,BUS,Memory,GPU.Clock,Memory.Clock,Shaders.TMUs.ROPs,Production.Status
143,Radeon R5 M315,AMD,Meso,"May 5th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",970 MHz,900 MHz,384 / 24 / 8,End-of-life
144,Radeon R5 M320,AMD,Jet,"May 5th, 2015",PCIe 3.0 x8,"4 GB, DDR3, 64 bit",780 MHz,1000 MHz,320 / 20 / 8,End-of-life
145,Radeon R5 M330,AMD,Exo,"May 5th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",955 MHz,900 MHz,320 / 20 / 8,End-of-life
146,Radeon R5 M335,AMD,Exo,"Oct 21st, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1030 MHz,900 MHz,320 / 20 / 8,End-of-life
147,Radeon R5 Mobile Graphics,AMD,Wani,"Nov 7th, 2015",IGP,System Shared,200 MHz,System Shared,384 / 24 / 8,End-of-life
148,Radeon R6 M335DX,AMD,Jet,"Dec 12th, 2015",IGP,System Shared,955 MHz,System Shared,384 / 24 / 8,End-of-life
149,Radeon R6 M340DX,AMD,Jet,"Dec 12th, 2015",IGP,System Shared,955 MHz,System Shared,384 / 24 / 8,End-of-life
150,Radeon R6 Mobile Graphics,AMD,Wani,"Nov 7th, 2015",IGP,System Shared,200 MHz,System Shared,384 / 24 / 8,End-of-life
151,Radeon R7 340 OEM,AMD,Oland,"May 5th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",730 MHz,900 MHz,384 / 24 / 8,End-of-life
152,Radeon R7 340 OEM,AMD,Oland,"May 5th, 2015",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",730 MHz,1000 MHz,384 / 24 / 8,End-of-life
153,Radeon R7 350 Fake Card,AMD,Opal,2015,PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1050 MHz,1150 MHz,384 / 24 / 8,End-of-life
154,Radeon R7 350 OEM,AMD,Oland,"May 5th, 2015",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1000 MHz,1150 MHz,384 / 24 / 8,End-of-life
