,game,release,peak_players,total_reviews,rating
315,Lunar Mirror:The Pavilion of Desire,2023-03-04,1331,92,81.67
316,One Night At Barneys 3,2023-01-05,24,7,81.66
317,Joshua's Legs,2023-01-18,5,0,81.66
318,QUALIA ~The Path of Promise~,2023-02-03,12,0,81.66
319,Joe Wander,2023-02-03,12,0,81.66
320,不可思异世界,2023-01-17,10,0,81.66
321,Luckily  My Arm Is A Shotgun,2023-02-22,3,0,81.66
322,Hydrofoil Generation,2023-02-16,39,1,81.65
323,Ballistic Zen,2023-01-25,9,1,81.65
324,Wall World,2023-04-05,4403,150,81.63
325,Wander Hero,2023-01-12,851,74,81.61
326,Terra Nil,2023-03-28,5916,305,81.49
327,UnderDungeon,2023-01-13,7,2,81.48
328,Forrader Hero,2023-01-23,28,2,81.48
329,Forest Of Relics,2023-01-25,10,2,81.48
330,Helvetii,2023-02-03,21,1,81.47
331,Deadnaut: Signal Lost,2023-03-28,56,1,81.47
332,Mythargia,2023-02-20,7,0,81.46
333,FUR Squadron,2023-03-16,5,0,81.46
334,Iron Mandate,2023-03-11,42,5,81.45
335,Dice Kingdoms,2023-04-03,110,3,81.42
336,Ancient Saga: Vikings Journey - Resource Management Simulator,2023-03-10,20,3,81.42
337,Puppet Master: The Game,2023-03-01,249,40,81.38
338,SpaceBourne 2,2023-02-17,1241,241,81.37
339,The Wreck,2023-03-14,20,5,81.34
340,Paperback Adventures,2023-01-30,22,2,81.33
341,Digimon World: Next Order,2023-02-21,1685,64,81.3
342,World Of Mystery,2023-01-08,362,12,81.3
343,Toy Tactics,2023-03-17,12,1,81.3
344,Star Ring,2023-01-20,38,3,81.29
345,山海灵妖录,2023-03-03,362,65,81.28
346,Tactical Assault VR,2023-03-27,185,38,81.27
347,The Director's Disorder: Pilot Episode,2023-01-19,57,19,81.26
348,Agent in Depth,2023-01-20,20,10,81.26
349,Buildest,2023-03-24,10,0,81.25
350,BLACK★ACADEMY,2023-03-17,11,0,81.25
351,No:Worse,2023-03-16,6,0,81.25
352,Konkan Coast Pirate Solutions,2023-03-01,6,0,81.25
353,I commissioned some cats,2023-02-16,11,0,81.25
354,September 7th,2023-01-06,149,134,81.22
355,Magic Research,2023-03-23,1109,4,81.17
356,Shiner,2023-03-18,28,4,81.17
357,Nienix,2023-03-24,352,22,81.15
