id,game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
445,Mega Mall Story 2,2023,67,19,0,0,79.71%
446,Linked Worlds,2023,10,19,0,0,79.71%
447,FAKE HEART,2023,9,19,0,0,79.71%
448,Memory Traces: Egypt,2023,6,19,0,0,79.71%
449,Brick Odyssey,2023,14,19,0,0,79.71%
450,Wind Up,2023,27,19,0,0,79.71%
451,Logic - Keypad,2023,3,19,0,0,79.71%
452,Ashes of War,2023,6,19,0,0,79.71%
453,Endless Dark,2023,6,19,0,0,79.71%
454,TRAUMA Broken Paradise,2023,4,19,0,0,79.71%
455,降妖散记,2023,883,272,44,44,79.70%
456,District Steel,2023,8,35,2,2,79.68%
457,No Questions Asked,2023,4,35,2,2,79.68%
458,幻斋阴阳录 Genzai:Serialization,2023,45,110,14,14,79.66%
459,Mr. Hopp's Playhouse 3,2023,38,42,3,3,79.65%
460,Tokyo Necro,2023,76,68,7,7,79.62%
461,Spellmasons,2023,127,92,11,11,79.61%
462,The Tales of Bayun,2023,41,86,10,10,79.60%
463,Story of Animal Sprite,2023,26,27,1,1,79.58%
464,Black Reliquary,2023,542,247,40,40,79.51%
465,Within The Backrooms,2023,9,34,2,2,79.46%
466,Potion Brew: Co-op,2023,14,34,2,2,79.46%
467,Webcam Sex,2023,9,34,2,2,79.46%
468,Drop - System Breach,2023,54,41,3,3,79.45%
469,Chef Life: A Restaurant Simulator,2023,840,476,87,87,79.42%
470,Painting Werther,2023,4,18,0,0,79.39%
471,Palette Swap,2023,4,18,0,0,79.39%
472,Bullet Casters,2023,8,18,0,0,79.39%
473,За Закатом Неминуем Рассвет,2023,6,18,0,0,79.39%
474,Kairobotica,2023,21,18,0,0,79.39%
