,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
8531,Cow Milking Simulator,/app/624710/,Oct 31 2017,98,37,2,2,80.09%
8532,Defend the Cake,/app/674330/,Dec 1 2017,7,37,2,2,80.09%
8533,Idle Bouncer,/app/697610/,Sep 27 2017,420,302,48,48,80.07%
8534,CRYPTARK,/app/344740/,Jun 20 2017,108,817,151,151,80.06%
8535,Spelunker Party!,/app/629860/,Oct 19 2017,20,58,5,5,80.04%
8536,LEAVES - The Return,/app/569810/,Mar 14 2017,95,248,38,38,80.03%
8537,🔴 Circles,/app/460250/,Feb 17 2017,7,114,14,14,80.02%
8538,Balloon Popping Pigs,/app/575590/,Jan 30 2017,36,44,3,3,80.02%
8539,MSI Electric City: Core Assault,/app/691930/,Sep 8 2017,10,71,7,7,80.01%
8540,Indygo,/app/702600/,Oct 24 2017,8,51,4,4,80.01%
8541,Kona,/app/365160/,Mar 17 2017,349,"2,460",505,505,80.00%
8542,Oh...Sir! The Hollywood Roast,/app/575330/,May 31 2017,"1,868",295,47,47,80.00%
8543,Runic Rampage,/app/615010/,May 17 2017,11,171,24,24,80.00%
8544,Lit the Torch,/app/671330/,Aug 3 2017,2,20,0,0,80.00%
8545,JU,/app/684430/,Oct 19 2017,3,20,0,0,80.00%
8546,Prey with Gun,/app/718940/,Nov 24 2017,80,165,23,23,79.97%
8547,Cyberhunt,/app/636150/,May 19 2017,"5,810","1,219",237,237,79.96%
8548,ICY: Frostbite Edition,/app/680480/,Aug 11 2017,247,314,51,51,79.93%
8549,Nevrosa: Prelude,/app/598070/,Feb 23 2017,13,181,26,26,79.93%
8550,NIGHTSTAR: STARFIGHTER,/app/511570/,Mar 8 2017,6,57,5,5,79.89%
8551,Squarism,/app/745030/,Nov 21 2017,19,57,5,5,79.89%
8552,Dolphin Up,/app/534680/,May 4 2017,11,28,1,1,79.83%
8553,Radium 2,/app/562460/,Mar 2 2017,18,28,1,1,79.83%
8554,Knight Terrors,/app/732770/,Oct 31 2017,4,28,1,1,79.83%
8555,Cosmic Trip,/app/427240/,May 24 2017,66,437,76,76,79.81%
8556,Pinball Wicked,/app/595960/,Oct 12 2017,10,157,22,22,79.81%
8557,Wild Guns Reloaded,/app/585910/,Jul 11 2017,30,300,49,49,79.79%
8558,SOK,/app/765940/,Dec 22 2017,6,105,13,13,79.73%
8559,World of Warships,/app/552990/,Nov 15 2017,"411,338","96,149","23,099","23,099",79.72%
8560,Unforgiving - A Northern Hymn,/app/747340/,Nov 27 2017,90,"1,114",219,219,79.72%
8561,Twisted Arrow,/app/494960/,Mar 28 2017,13,81,9,9,79.71%
8562,CapRiders: Euro Soccer,/app/492200/,Apr 7 2017,17,19,0,0,79.71%
8563,GUNGUNGUN,/app/544400/,Apr 14 2017,13,19,0,0,79.71%
8564,Zap Zone,/app/572180/,Feb 10 2017,5,19,0,0,79.71%
8565,Chainless,/app/589680/,Mar 24 2017,3,19,0,0,79.71%
8566,Rangi,/app/607330/,Aug 3 2017,4,19,0,0,79.71%
8567,CubeWorks,/app/636220/,Oct 31 2017,3,19,0,0,79.71%
8568,Revhead,/app/589760/,Mar 10 2017,74,447,79,79,79.68%
8569,Ricochet Kills: Noir,/app/596630/,Mar 4 2017,11,49,4,4,79.68%
8570,Flagsplosion,/app/652340/,Jun 28 2017,4,49,4,4,79.68%
8571,Red Obsidian Remnant,/app/610960/,Sep 5 2017,290,693,130,130,79.67%
8572,Freedom Locomotion VR,/app/584170/,Mar 13 2017,24,182,27,27,79.67%
8573,Semispheres,/app/448800/,Feb 14 2017,25,62,6,6,79.67%
8574,Christmas Stories: A Christmas Carol Collector's Edition,/app/757030/,Dec 1 2017,21,42,3,3,79.65%
8575,The Infectious Madness of Doctor Dekker,/app/545540/,May 19 2017,165,416,73,73,79.64%
8576,State of Anarchy Complete: Master of Mayhem,/app/576130/,Mar 31 2017,"4,012",450,80,80,79.63%
8577,Tomboys Need Love Too!,/app/628920/,May 12 2017,51,154,22,22,79.61%
8578,YANKAI'S PEAK.,/app/654910/,Jul 13 2017,5,55,5,5,79.58%
8579,Midnight at the Celestial Palace: Chapter I,/app/460140/,Feb 24 2017,6,27,1,1,79.58%
8580,sphereFACE,/app/485680/,May 19 2017,58,27,1,1,79.58%
8581,A Snake's Tale,/app/654810/,Jul 6 2017,4,27,1,1,79.58%
8582,Next,/app/728440/,Nov 11 2017,7,212,33,33,79.57%
8583,True or False 2,/app/581760/,Jan 27 2017,42,126,17,17,79.57%
8584,Ignition,/app/577990/,Feb 6 2017,10,164,24,24,79.55%
8585,4D Toys,/app/619210/,Jun 2 2017,14,164,24,24,79.55%
8586,Isotiles,/app/654440/,Jun 16 2017,6,153,22,22,79.54%
8587,Nefarious,/app/448290/,Jan 23 2017,123,338,58,58,79.52%
8588,Yonder: The Cloud Catcher Chronicles,/app/580200/,Jul 18 2017,"1,305","2,412",514,514,79.50%
8589,RuneSage,/app/542030/,Sep 28 2017,6,48,4,4,79.50%
8590,Monsters' Den: Godfall,/app/469720/,Jul 7 2017,487,406,72,72,79.49%
8591,MidBoss,/app/561740/,May 25 2017,97,226,36,36,79.48%
8592,Mary Le Chef - Cooking Passion,/app/588620/,Jun 23 2017,18,85,10,10,79.48%
8593,MMM: Murder Most Misfortunate,/app/525690/,May 1 2017,579,79,9,9,79.47%
8594,A Long Road Home,/app/576160/,Jan 31 2017,686,34,2,2,79.46%
8595,Cursed Treasure 2,/app/643960/,Jul 21 2017,122,341,59,59,79.45%
8596,Bucket Detective,/app/461170/,Feb 16 2017,10,215,34,34,79.45%
8597,I Am Overburdened,/app/690560/,Nov 2 2017,25,130,18,18,79.45%
8598,Morgan lives in a Rocket House in VR,/app/724180/,Nov 3 2017,10,41,3,3,79.45%
8599,Interkosmos,/app/579110/,Apr 25 2017,183,316,54,54,79.44%
8600,Riptale,/app/616000/,Apr 27 2017,24,96,12,12,79.42%
8601,Pixel Puzzles Junior,/app/455690/,Feb 17 2017,"1,046",135,19,19,79.41%
8602,Oik Memory,/app/671090/,Dec 29 2017,54,167,25,25,79.39%
8603,Viral EX,/app/397600/,Jul 10 2017,9,18,0,0,79.39%
8604,ICEBOX: Speedgunner,/app/577150/,Oct 18 2017,4,18,0,0,79.39%
8605,Cursery: The Crooked Man and the Crooked Cat Collector's Edition,/app/622200/,Apr 12 2017,4,18,0,0,79.39%
8606,Burst Fighter,/app/642600/,Sep 16 2017,5,18,0,0,79.39%
8607,Dark Parables: Queen of Sands Collector's Edition,/app/678440/,Jul 28 2017,6,18,0,0,79.39%
8608,Kyklos Code,/app/718030/,Dec 15 2017,7,18,0,0,79.39%
8609,Dungeon's Barrage,/app/757700/,Dec 21 2017,3,18,0,0,79.39%
8610,CPU Invaders,/app/595440/,Feb 17 2017,"2,489",593,112,112,79.38%
8611,Drop Hunt,/app/596870/,Feb 23 2017,"3,107",284,48,48,79.36%
8612,Blasters of the Universe,/app/490490/,Aug 31 2017,24,203,32,32,79.36%
8613,Magical Squash,/app/719410/,Nov 10 2017,3,72,8,8,79.35%
8614,Balthazar's Dream,/app/583890/,May 30 2017,48,101,13,13,79.34%
8615,Entangle,/app/533580/,Feb 17 2017,10,47,4,4,79.32%
8616,3..2..1..Grenades!,/app/504090/,Jun 21 2017,5,26,1,1,79.32%
8617,Far from Noise,/app/706130/,Nov 14 2017,11,139,20,20,79.30%
8618,EMERGENCY 20,/app/735280/,Oct 31 2017,765,"1,212",249,249,79.28%
8619,Animal Lover,/app/542200/,Feb 14 2017,230,128,18,18,79.28%
8620,Kart Racing Pro,/app/415600/,Jul 14 2017,93,287,49,49,79.27%
8621,Train Frontier Classic,/app/713460/,Dec 15 2017,33,165,25,25,79.26%
8622,Fidget Spinner Editor,/app/715370/,Oct 9 2017,5,83,10,10,79.25%
8623,"Viktor, a Steampunk Adventure",/app/550990/,Mar 17 2017,10,53,5,5,79.25%
8624,Ballway,/app/654770/,Jul 20 2017,3,53,5,5,79.25%
8625,Life of a Mobster,/app/596890/,Mar 17 2017,31,33,2,2,79.23%
8626,Invisibox,/app/620940/,Oct 18 2017,940,59,6,6,79.22%
8627,ReThink | Evolved,/app/703500/,Sep 15 2017,6,59,6,6,79.22%
8628,Astoria: The Holders of Power Saga,/app/669380/,Aug 2 2017,12,71,8,8,79.21%
8629,Project CARS 2,/app/378860/,Sep 21 2017,"6,775","14,317","3,398","3,398",79.20%
8630,Detention,/app/555220/,Jan 12 2017,"2,335","11,104","2,613","2,613",79.19%
8631,Slime-san,/app/473530/,Apr 7 2017,128,240,40,40,79.17%
8632,Age of Rivals,/app/597970/,Mar 14 2017,32,189,30,30,79.14%
8633,Ghostory,/app/568460/,Oct 23 2017,14,46,4,4,79.14%
8634,Rocket Wars,/app/627670/,Jun 15 2017,621,46,4,4,79.14%
8635,Aaero,/app/499890/,Apr 11 2017,289,710,140,140,79.13%
8636,Wo Yao Da,/app/636960/,Sep 15 2017,203,214,35,35,79.12%
8637,Aporia: Beyond The Valley,/app/573130/,Jul 19 2017,96,557,107,107,79.10%
8638,Little Kite,/app/610120/,Sep 14 2017,"3,104",115,16,16,79.10%
8639,Lines,/app/458540/,Jun 8 2017,52,93,12,12,79.10%
8640,Beekyr Reloaded,/app/484930/,Nov 14 2017,11,76,9,9,79.10%
8641,Wunderdoktor,/app/705450/,Oct 11 2017,8,76,9,9,79.10%
8642,Trianga's Project: Battle Splash 2.0,/app/756600/,Dec 19 2017,6,70,8,8,79.08%
8643,Trianguluv,/app/601930/,Mar 15 2017,"1,557",52,5,5,79.08%
8644,TAURONOS,/app/676240/,Aug 4 2017,5,52,5,5,79.08%
8645,Hostil,/app/726200/,Dec 1 2017,7,203,33,33,79.07%
8646,Blocks,/app/533970/,Jul 6 2017,111,167,26,26,79.05%
8647,Shoot Shoot Mega Pack,/app/467470/,Apr 28 2017,4,17,0,0,79.05%
8648,Zombie Killin',/app/582350/,Jan 31 2017,121,17,0,0,79.05%
8649,"Cadenza: Music, Betrayal and Death Collector's Edition",/app/629100/,May 3 2017,4,17,0,0,79.05%
8650,Christmas Puzzle,/app/737830/,Nov 7 2017,10,17,0,0,79.05%
8651,Monarch of Greed - Act 1,/app/746220/,Nov 29 2017,28,17,0,0,79.05%
8652,School of Talent: SUZU-ROUTE,/app/573040/,Feb 23 2017,103,98,13,13,79.04%
8653,Otome Romance Jigsaws - Midnight Cinderella & Destined to Love,/app/598670/,Feb 27 2017,6,25,1,1,79.04%
8654,HAUNTED: Halloween '86 (The Curse Of Possum Hollow),/app/607490/,Mar 28 2017,4,25,1,1,79.04%
8655,BOROS,/app/613420/,Apr 6 2017,24,25,1,1,79.04%
8656,Eventide Night,/app/616030/,May 4 2017,"5,265",25,1,1,79.04%
8657,Companion,/app/545340/,Mar 31 2017,4,81,10,10,79.01%
8658,Nioh: Complete Edition,/app/485510/,Nov 7 2017,"10,649","25,316","6,193","6,193",79.00%
8659,Nancy Drew: The Secret of Shadow Ranch,/app/572740/,Jan 9 2017,30,103,14,14,78.99%
8660,Adventures of the Worm,/app/681410/,Aug 18 2017,5,32,2,2,78.99%
8661,Achievement Clicker,/app/743640/,Nov 17 2017,52,"2,018",442,442,78.98%
8662,Don't Make Love,/app/723890/,Oct 26 2017,153,356,65,65,78.96%
8663,An Alien with a Magnet,/app/390620/,Mar 29 2017,623,45,4,4,78.95%
8664,Shuyan Saga,/app/594680/,Aug 8 2017,25,421,79,79,78.94%
8665,Missile Cards,/app/586390/,Apr 7 2017,11,51,5,5,78.91%
8666,Ghosts of Miami,/app/677300/,Aug 22 2017,11,51,5,5,78.91%
8667,Trenches of War,/app/641860/,Jul 6 2017,13,57,6,6,78.90%
8668,Gal*Gun VR,/app/678520/,Aug 9 2017,65,389,73,73,78.81%
8669,Gene Shift Auto,/app/308600/,May 23 2017,"214,143","1,803",397,397,78.80%
8670,Island Dash,/app/676770/,Aug 30 2017,43,416,79,79,78.79%
8671,Fugl,/app/643810/,Sep 14 2017,18,434,83,83,78.77%
8672,Hello Neighbor,/app/521890/,Dec 8 2017,"1,414","9,327","2,248","2,248",78.75%
8673,Zombie Solitaire 2 Chapter 2,/app/623170/,Oct 9 2017,16,44,4,4,78.75%
8674,Clarent Saga: Tactics,/app/709670/,Sep 25 2017,6,44,4,4,78.75%
8675,Block King,/app/535330/,Feb 10 2017,7,24,1,1,78.75%
8676,Scribble Ships,/app/548130/,Mar 29 2017,18,24,1,1,78.75%
8677,Hopalong: The Badlands,/app/555600/,Nov 22 2017,4,24,1,1,78.75%
8678,Tell a Demon,/app/679230/,Jul 21 2017,4,24,1,1,78.75%
8679,Headmaster,/app/621010/,Aug 30 2017,6,31,2,2,78.74%
8680,A House of Many Doors,/app/437250/,Feb 3 2017,90,326,60,60,78.72%
8681,The Talos Principle VR,/app/552440/,Oct 17 2017,96,612,123,123,78.71%
8682,Frequent Flyer,/app/554150/,Jan 20 2017,518,73,9,9,78.71%
8683,Circuit Dude,/app/662410/,Aug 3 2017,5,16,0,0,78.69%
8684,Debris Infinity,/app/729390/,Dec 8 2017,4,16,0,0,78.69%
8685,Sigi - A Fart for Melusina,/app/677280/,Dec 22 2017,7,100,14,14,78.68%
8686,Super Sports Surgery,/app/643700/,Jun 22 2017,12,191,32,32,78.66%
8687,Rosenkreuzstilette Freudenstachel,/app/564160/,Oct 17 2017,19,105,15,15,78.65%
8688,Shift Happens,/app/359840/,Feb 22 2017,"3,905","2,182",494,494,78.61%
8689,VoiceActress,/app/753360/,Nov 29 2017,86,190,32,32,78.60%
8690,Alicia Quatermain: Secrets Of The Lost Treasures,/app/646470/,Sep 1 2017,14,115,17,17,78.60%
8691,STLD Redux: Episode 02,/app/386200/,May 19 2017,4,37,3,3,78.60%
8692,Dick Wilde,/app/585500/,Mar 29 2017,9,37,3,3,78.60%
8693,Life on Mars Remake,/app/677910/,Aug 11 2017,5,37,3,3,78.60%
8694,Shadowhand,/app/427490/,Dec 7 2017,231,606,123,123,78.58%
