,id,game,link,Primary Genre,Store Genres,Publisher,Developer,Detected Technologies,Store Asset Modification Time,review_percentage,players right now,24-hour peak,all-time peak,all-time date
2149,2149,贤者挽歌之马略卡协奏曲,/app/745820/,RPG (3),RPG (3),魔力乐章,魔力乐章,"Engine.Cocos, SDK.OpenAL, SDK.Vorbis, SDK.cURL",7 May 2018 – 08:00:58 UTC (5 years ago) (1525680058),,0,0,3,2018-05-07T13:10:25+00:00
2150,2150,Hexvade,/app/754270/,Action (1),"Action (1), Casual (4), Indie (23)",Andy Mark,Andy Mark,,12 November 2017 – 21:15:54 UTC (6 years ago) (1510521354),,0,0,5,2018-02-21T21:10:23+00:00
2151,2151,Solar Wind,/app/756630/,Indie (23),"Action (1), Indie (23)",JimJams Games,JimJams Games,,5 November 2019 – 18:42:25 UTC (4 years ago) (1572979345),,0,0,2,2018-04-27T11:30:29+00:00
2152,2152,Wolf Gang,/app/761040/,RPG (3),"Indie (23), RPG (3), Strategy (2), Early Access (70)",Lyon Beckers,Lyon Beckers,Engine.Unity,27 November 2017 – 17:55:58 UTC (6 years ago) (1511805358),,0,0,2,2018-01-12T03:20:30+00:00
2153,2153,Fantasy Realm: A Land Torn Asunder,/app/762240/,RPG (3),"Indie (23), RPG (3), Early Access (70)",Wildwood Game Studios,Wildwood Game Studios,"Engine.RPGMaker, SDK.NWJS",27 March 2023 – 09:15:24 UTC (24 days ago) (1679908524),,0,0,3,2018-03-27T16:01:02+00:00
2154,2154,A Walk Along the Wall,/app/776360/,Action (1),"Action (1), Indie (23)",SCRAWL Studio,SCRAWL Studio,"Engine.Unity, SDK.FMOD",31 December 2017 – 22:26:51 UTC (5 years ago) (1514759211),,0,0,2,2018-01-10T18:40:39+00:00
2155,2155,SOS Atlas,/app/781380/,Action (1),"Violent (73), Action (1), Indie (23), Early Access (70)",Third Gate Studios,Third Gate Studios,"Engine.Unreal, SDK.NVIDIA_APEX, SDK.NVIDIA_Nsight_Aftermath, SDK.NVIDIA_PhysX, SDK.OculusXRPlugin, SDK.OpenVR, SDK.Vorbis",11 July 2018 – 21:59:15 UTC (5 years ago) (1531346355),,0,0,2,2018-07-11T11:00:33+00:00
2156,2156,Candy Snake Master,/app/781500/,Action (1),"Action (1), Casual (4), Indie (23)",BD Studio Games,BD Studio Games,Engine.Unity,29 October 2022 – 02:17:31 UTC (6 months ago) (1667009851),,0,0,2,2018-03-04T15:50:37+00:00
2157,2157,Arc Surfer,/app/782210/,Sports (18),"Action (1), Indie (23), Racing (9), Sports (18), Early Access (70)",Pixel Fyzz,Pixel Fyzz,"Engine.Unity, SDK.OpenVR, SDK.Photon",17 August 2018 – 22:41:59 UTC (5 years ago) (1534545719),,0,0,6,2018-06-16T22:10:25+00:00
2158,2158,Tank 51,/app/782610/,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23)",Daimen Gaming,Daimen Gaming,"Engine.BlenderGameEngine, SDK.OpenAL, SDK.SDL",9 January 2018 – 08:34:36 UTC (5 years ago) (1515486876),,0,0,2,2018-01-27T23:00:34+00:00
2159,2159,Dinoku,/app/787620/,Casual (4),"Casual (4), Indie (23)",Prince Game Studio,Prince Game Studio,Engine.Unity,11 February 2018 – 20:26:04 UTC (5 years ago) (1518380764),,0,0,2,2018-02-17T08:10:43+00:00
2160,2160,Fantasy Mosaics 27: Secret Colors,/app/797450/,Casual (4),"Casual (4), Indie (23), Strategy (2)",Andy Jurko,Andy Jurko,Engine.GameMaker,30 January 2018 – 07:26:56 UTC (5 years ago) (1517297216),,1,3,5,2018-12-09T19:10:06+00:00
2161,2161,PICNIC,/app/805260/,Indie (23),Indie (23),A.D. Klumpp,A.D. Klumpp,"Engine.BlenderGameEngine, SDK.OpenAL",10 February 2018 – 02:32:05 UTC (5 years ago) (1518229925),,0,0,2,2019-04-28T01:40:09+00:00
2162,2162,Memoir,/app/811040/,Indie (23),"Adventure (25), Indie (23)",Ren Production Sdn Bhd,Lai Ze Ren,Engine.Unity,6 April 2018 – 10:39:14 UTC (5 years ago) (1523011154),,0,0,3,2018-04-27T15:00:28+00:00
2163,2163,Broken Ties,/app/813020/,RPG (3),"Adventure (25), RPG (3)",Tninja1337,Tninja1337,Engine.RPGMaker,14 March 2018 – 20:01:35 UTC (5 years ago) (1521057695),,0,0,3,2018-04-17T00:30:30+00:00
2164,2164,HAMMY,/app/817120/,Casual (4),"Action (1), Casual (4), Indie (23)",Ammonite Design Studios Ltd,Ammonite Design Studios Ltd,Engine.Unity,4 March 2018 – 23:03:39 UTC (5 years ago) (1520204619),,0,0,3,2021-01-01T23:10:23+00:00
2165,2165,EXE: Mainframe,/app/822450/,Action (1),"Action (1), Indie (23)",Panic Bot Games,Panic Bot Games,Engine.Unity,10 February 2020 – 08:12:11 UTC (3 years ago) (1581322331),,0,0,3,2021-01-16T05:00:18+00:00
2166,2166,Pixel Beef Battle,/app/831180/,Action (1),"Action (1), Indie (23)",Slime King Games,Slime King Games,,29 October 2019 – 19:32:11 UTC (4 years ago) (1572377531),,0,0,2,2018-04-22T07:50:33+00:00
